,acc,norm_edit_dis,fps,model,dataset,precision,recall,hmean
0,0.7771158730278853,0.8554771573880946,2372.186665263108,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_10,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
0,0.8035522944983832,0.8716043063909863,3809.537778589332,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_10,/home/dataset_labels/rec_08_02_90_k_fold_5_4/train_label.txt,,,
0,0.7754449685612459,0.8561747568567947,2699.144578110478,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_10,/home/dataset_labels/rec_08_02_90_k_fold_5_4/val_label.txt,,,
0,0.8040319649829218,0.872620126445931,4213.908701288085,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_10,/home/dataset_labels/rec_08_02_90_k_fold_5_5/train_label.txt,,,
0,0.7813771057659957,0.858915082796427,2680.281280005243,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_10,/home/dataset_labels/rec_08_02_90_k_fold_5_5/val_label.txt,,,
0,0.8085828958086949,0.8727498211513127,4134.141700746418,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_11,/home/dataset_labels/rec_08_02_90_k_fold_5_1/train_label.txt,,,
0,0.7880130760711855,0.8630883539097571,3489.1223383055262,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_11,/home/dataset_labels/rec_08_02_90_k_fold_5_1/val_label.txt,,,
0,0.8091277262755157,0.8752960358652391,4945.095242887422,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_11,/home/dataset_labels/rec_08_02_90_k_fold_5_2/train_label.txt,,,
0,0.7839447869350201,0.8582423244332126,3463.999119219465,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_11,/home/dataset_labels/rec_08_02_90_k_fold_5_2/val_label.txt,,,
0,0.811288887127238,0.874941708157081,4891.052728315064,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_11,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
0,0.7819832903872261,0.8578931076628056,3228.911347850514,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_11,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
